,SKU,price,note,category,brand,platform
45,"XTRA Combo VIP 10GB+20GB, Double Youtube, 30hr",99000,"10GB Kuota Utama + 20GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 30 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
46,Internet Umroh &amp; Haji 1GB+1GB,99000,1GB Kuota Utama untuk di Indonesia + 1GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat &amp; ketentuan lebih lengkap di xl.co.id/umrohhaji,Paket Data,Xl,mitra bukalapak
49,Nelpon Umroh &amp; Haji,99000,50 Min Nelpon ke Indonesia / Arab Saudi dan Terima telepon + 10 SMS. Masa aktif 60 hari. Syarat &amp; ketentuan lebih lengkap di xl.co.id/umrohhaji,Paket Data,Xl,mitra bukalapak
50,XL Pure 6GB 30 hari,103500,,Paket Data,Xl,mitra bukalapak
51,Xtra Combo Flex XXL 26GB + Kuota Area Hingga 46GB + Bonus Flex,115000,,Paket Data,Xl,mitra bukalapak
54,"Akrab M, 2 Anggota, 30hr",125000,,Paket Data,Xl,mitra bukalapak
55,XL Pure 8GB 30 Hari,123500,,Paket Data,Xl,mitra bukalapak
56,"XTRA Combo 15GB+30GB, Double Youtube, 30hr",129000,"15GB Kuota Utama + 30GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 40 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
57,"XTRA Combo VIP 15GB+30GB, Double Youtube, 30hr",139000,"15GB Kuota Utama + 30GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 40 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
59,Xtra Combo Flex XXXL 36GB + Kuota Area Hingga 54GB + Bonus Flex,137000,,Paket Data,Xl,mitra bukalapak
