,SKU,price,note,category,brand
7,AXIS DATA PURE 3GB 60HR,40500,Set harga,Paket Data,Axis
8,AIGO Bronet 24Jam 8GB 30hr,47850,Set harga,Paket Data,Axis
9,"Axis Data 3GB, 30 hari",48070,Set harga,Paket Data,Axis
10,BRONET 24Jam 5GB 60hr,54900,Set harga,Paket Data,Axis
11,AXIS DATA PURE 5GB 60HR,60000,Set harga,Paket Data,Axis
6,"Axis Data 4GB, 30 hari",63320,Set harga,Paket Data,Axis
7,AIGO Bronet 24Jam 12GB 30hr,64850,Set harga,Paket Data,Axis
8,BRONET 24Jam 8GB 60d + Sosmed 2GB 30d,67500,Set harga,Paket Data,Axis
9,BRONET 24Jam 8GB + Games 2GB 60hr,69500,Set harga,Paket Data,Axis
10,"AXIS+ Bronet 24Jam 2GB 30hr, 6bln",71000,Set harga,Paket Data,Axis
11,BRONET 24Jam 8GB 60hr,71750,Set harga,Paket Data,Axis
7,"AXIS+ Bronet 24Jam 1GB 30hr, 12bln",77000,Set harga,Paket Data,Axis
8,AXIS DATA PURE 8GB 60HR,77900,Set harga,Paket Data,Axis
9,BRONET 24Jam 10GB 60d + Sosmed 2GB 30d,79500,Set harga,Paket Data,Axis
10,"Axis Data 5GB, 30 hari",79570,Set harga,Paket Data,Axis
5,BRONET 24Jam 10GB + Games 2GB 60hr,79700,Set harga,Paket Data,Axis
6,"[Parti Day] Bronet 24jam 30GB Nat + 15GB Sosmed/Chat, 30hr",80000,Set harga,Paket Data,Axis
7,"Axis Data 6GB, 30 hari",84000,Set harga,Paket Data,Axis
8,AIGO Bronet 24Jam 22GB 30hr,84850,Set harga,Paket Data,Axis
9,AXIS PASS 1 Hari,85000,Set harga,Paket Data,Axis
10,"AXIS+ Bronet 24Jam 3GB 30hr, 6bln",87000,Set harga,Paket Data,Axis
5,BRONET 24Jam 10GB 60hr,87900,Set harga,Paket Data,Axis
6,BRONET 24Jam 12GB 60d + Sosmed 2GB 30d,89000,Set harga,Paket Data,Axis
7,BRONET 24Jam 12GB + Games 2GB 60hr,90000,Set harga,Paket Data,Axis
8,AXIS DATA PURE 10GB 30HR,91500,Set harga,Paket Data,Axis
9,BRONET 24Jam 12GB 60hr,97900,Set harga,Paket Data,Axis
10,AXIS DATA PURE 12GB 60HR,102500,Set harga,Paket Data,Axis
11,BRONET 24Jam 16GB 60hr,119900,Set harga,Paket Data,Axis
4,"Axis Data 8GB, 30 hari",123500,Set harga,Paket Data,Axis
5,AXIS DATA PURE 16GB 60HR,124500,Set harga,Paket Data,Axis
6,Nelp &amp; SMS Mabrur 10 Hari,149000,Set harga,Paket Data,Axis
7,AXIS PASS 3 Hari,150000,Set harga,Paket Data,Axis
8,Nelp &amp; SMS Mabrur 20 Hari,179000,Set harga,Paket Data,Axis
9,Internet Mabrur 10 Hari,199000,Set harga,Paket Data,Axis
10,Nelp &amp; SMS Mabrur 40 Hari,199000,Set harga,Paket Data,Axis
11,Internet Mabrur 20 Hari,249000,Set harga,Paket Data,Axis
